One Last Stop | Casey McQuiston
The Well of Ascension | Brandon Sanderson
It | Stephen King
The Shining | Stephen King
Doctor Sleep | Stephen King
11/22/63 | Stephen King
Pet Sematary | Stephen King
'Salem's Lot | Stephen King
The Stand | Stephen King
Carrie | Stephen King
Misery | Stephen King
Intermezzo | Sally Rooney
Normal People | Sally Rooney
Conversations with Friends | Sally Rooney
Beautiful World, Where Are You | Sally Rooney
Gilead | Marilynne Robinson
Housekeeping | Marilynne Robinson
Lila | Marilynne Robinson
Home | Marilynne Robinson
The Sympathizer | Viet Thanh Nguyen
The Refugees | Viet Thanh Nguyen
The Committed | Viet Thanh Nguyen
Night Sky with Exit Wounds | Ocean Vuong
The Alice Network | Kate Quinn
The Lost Apothecary | Sarah Penner
The Dutch House | Ann Patchett
The Spinning Heart | Donal Ryan
An Orchestra of Minorities | Chigozie Obioma
The Humans | Matt Haig
The Orphan Master's Son | Adam Johnson
On Earth We're Briefly Gorgeous | Ocean Vuong
Pachinko | Min Jin Lee
And Then There Were None | Agatha Christie
The Seven Husbands of Evelyn Hugo | Taylor Jenkins Reid
The Price of Salt, or Carol | Patricia Highsmith
The Talented Mr. Ripley | Patricia Highsmith
Gerald's Game | Stephen King
The Institute | Stephen King
The Outsider | Stephen King
The Ultimate Hitchhiker's Guide to the Galaxy | Douglas Adams
The Restaurant at the End of the Universe | Douglas Adams
Life, the Universe and Everything | Douglas Adams
So Long, and Thanks for All the Fish | Douglas Adams
Mostly Harmless | Douglas Adams
Dirk Gently's Holistic Detective Agency | Douglas Adams
The Long Dark Tea-Time of the Soul | Douglas Adams
The Salmon of Doubt: Hitchhiking the Galaxy One Last Time | Douglas Adams
Good Omens | Terry Pratchett
The Colour of Magic | Terry Pratchett
The Light Fantastic | Terry Pratchett
Equal Rites | Terry Pratchett
Catch-22 | Joseph Heller
A Confederacy of Dunces | John Kennedy Toole
Last Tang Standing | Lauren Ho
Bridget Jones's Diary | Helen Fielding
The Prophet and The Idiot | Jonas Jonasson
The Importance of Being Earnest | Oscar Wilde
The Canterville Ghost | Oscar Wilde
The Time Machine | H.G. Wells
Scoop | Evelyn Waugh
Brideshead Revisited | Evelyn Waugh
Decline and Fall | Evelyn Waugh
The Loved One | Evelyn Waugh
A Handful of Dust | Evelyn Waugh
Vile Bodies | Evelyn Waugh
The Code of the Woosters | P.G. Wodehouse
The Inimitable Jeeves | P.G. Wodehouse
Right Ho, Jeeves | P.G. Wodehouse
The Mating Season | P.G. Wodehouse
Joy in the Morning | P.G. Wodehouse
Fight Club | Chuck Palahniuk
One Flew Over the Cuckoo's Nest | Ken Kesey
Ten Big Ones: A Stephanie Plum Novel | Janet Evanovich
Twelve Sharp | Janet Evanovich
Fearless Fourteen | Janet Evanovich
The Help | Kathryn Stockett
The Secret Life of Bees | Sue Monk Kidd
The Poisonwood Bible | Barbara Kingsolver
The Bean Trees | Barbara Kingsolver
Pigs in Heaven | Barbara Kingsolver
The Lacuna | Barbara Kingsolver
Flight Behavior | Barbara Kingsolver
A Visit from the Goon Squad | Jennifer Egan
The Keep | Jennifer Egan
The Invisible Circus | Jennifer Egan
Look at Me | Jennifer Egan
The Candy House | Jennifer Egan
A Visit from Voltaire | Dinah Lee Küng
The Sweetness at the Bottom of the Pie | Alan Bradley
The Weed That Strings the Hangman's Bag | Alan Bradley
The Curious Incident of the Dog in the Night-Time | Mark Haddon
A Spot of Bother | Mark Haddon
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury | Bill Watterson
The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury | Bill Watterson
The Indispensable Calvin and Hobbes | Bill Watterson
The Phantom Tollbooth | Norton Juster
The Dot and the Line: A Romance in Lower Mathematics | Norton Juster
The Hello, Goodbye Window | Norton Juster
The Westing Game | Ellen Raskin
The Mysterious Benedict Society | Trenton Lee Stewart
The Mysterious Benedict Society and the Perilous Journey | Trenton Lee Stewart
The Mysterious Benedict Society and the Prisoner's Dilemma | Trenton Lee Stewart
Educated | Tara Westover
Becoming | Michelle Obama
Untamed | Glennon Doyle
The Glass Castle | Jeannette Walls
Where the Sidewalk Ends | Shel Silverstein
A Light in the Attic | Shel Silverstein
Falling Up | Shel Silverstein
The Giving Tree | Shel Silverstein
The Missing Piece | Shel Silverstein
High Fidelity | Nick Hornby
Life Among the Savages | Shirley Jackson
We Have Always Lived in the Castle | Shirley Jackson
The Lottery | Shirley Jackson
The Haunting of Hill House | Shirley Jackson
The Sundial | Shirley Jackson
The Bird's Nest | Shirley Jackson
The World According to Garp | John Irving
The Cider House Rules | John Irving
The Princess Bride | William Goldman
Eleven on Top | Janet Evanovich
Seven Up | Janet Evanovich
A Prayer for Owen Meany | John Irving
The Hotel New Hampshire | John Irving
A Son of the Circus | John Irving
The Fourth Hand | John Irving
A Widow for One Year | John Irving
Until I Find You | John Irving
Last Night in Twisted River | John Irving
The 158-Pound Marriage | John Irving
Avenue of Mysteries | John Irving
The Water Dancer | Ta-Nehisi Coates
The Fault in Our Stars | John Green
A Little Life | Hanya Yanagihara
The Diary of a Young Girl | Anne Frank
Where the Red Fern Grows | Wilson Rawls
Bridge to Terabithia | Katherine Paterson
The Boy in the Striped Pajamas | John Boyne
The Kite Runner | Khaled Hosseini
A Thousand Splendid Suns | Khaled Hosseini
And the Mountains Echoed | Khaled Hosseini
Brida | Paulo Coelho
Eleven Minutes | Paulo Coelho
The Pilgrimage | Paulo Coelho
Veronika Decides to Die | Paulo Coelho
The Valkyries | Paulo Coelho
The Devil and Miss Prym | Paulo Coelho
The Zahir | Paulo Coelho
The Fifth Mountain | Paulo Coelho
The Winner Stands Alone | Paulo Coelho
By the River Piedra I Sat Down and Wept: A Novel of Forgiveness | Paulo Coelho
The Spy Who Came In from the Cold | John le Carré
Tinker, Tailor, Soldier, Spy | John le Carré
The Constant Gardener | John le Carré
Allegiant | Veronica Roth
Divergent | Veronica Roth
Insurgent | Veronica Roth
The Giver | Lois Lowry
Gathering Blue | Lois Lowry
Messenger | Lois Lowry
Son | Lois Lowry
Eva Luna | Isabel Allende
The Infinite Plan | Isabel Allende
Of Love and Shadows | Isabel Allende
Daughter of Fortune | Isabel Allende
City of the Beasts | Isabel Allende
The Stories of Eva Luna | Isabel Allende
The Japanese Lover | Isabel Allende
The Sum of Our Days | Isabel Allende
Island Beneath the Sea | Isabel Allende
In the Midst of Winter | Isabel Allende
Maya's Notebook | Isabel Allende
Zorro | Isabel Allende
Looking for Alaska | John Green
Paper Towns | John Green
An Abundance of Katherines | John Green
Will Grayson, Will Grayson | John Green
Let It Snow: Three Holiday Romances | John Green
The Disreputable History of Frankie Landau-Banks | E. Lockhart
We Were Liars | E. Lockhart
The Boyfriend List: 15 Guys, 11 Shrink Appointments, 4 Ceramic Frogs and Me, Ruby Oliver | E. Lockhart
A Child Called "It" | Dave Pelzer
Sarah's Key | Tatiana de Rosnay
Firefly Lane | Kristin Hannah
Night | Elie Wiesel
Dawn | Elie Wiesel
Day | Elie Wiesel
About Grace | Anthony Doerr
Cloud Atlas | David Mitchell
The Bone Clocks | David Mitchell
Slade House | David Mitchell
The Thousand Autumns of Jacob de Zoet | David Mitchell
Clockwork Princess | Cassandra Clare
Clockwork Prince | Cassandra Clare
Clockwork Angel | Cassandra Clare
City of Heavenly Fire | Cassandra Clare
City of Lost Souls | Cassandra Clare
City of Fallen Angels | Cassandra Clare
City of Glass | Cassandra Clare
City of Ashes | Cassandra Clare
City of Bones | Cassandra Clare
The Mortal Instruments Series (4 Books) | Cassandra Clare
The Infernal Devices Series Collection (Vol 1 to 3) By Cassandra Clare 3 Books Bundle Gift Wrapped Slipcase Specially For You | Cassandra Clare
The Lovely Bones | Alice Sebold
The Almost Moon | Alice Sebold
The Hunger Games | Suzanne Collins
Catching Fire | Suzanne Collins
Mockingjay | Suzanne Collins
Gregor the Overlander | Suzanne Collins
Gregor and the Prophecy of Bane | Suzanne Collins
Gregor and the Curse of the Warmbloods | Suzanne Collins
The Voyage of the Dawn Treader | C.S. Lewis
The Silver Chair | C.S. Lewis
The Chronicles of Narnia Complete 7-Book Collection: The Classic Fantasy Adventure Series | C.S. Lewis
The Screwtape Letters | C.S. Lewis
Mere Christianity | C.S. Lewis
The Great Divorce | C.S. Lewis
Love You Forever | Robert Munsch
The Paper Bag Princess | Robert Munsch
Mortimer | Robert Munsch
The Dark | Lemony Snicket
A Series of Unfortunate Events Box: The Complete Wreck | Lemony Snicket
The Bad Beginning | Lemony Snicket
The Reptile Room | Lemony Snicket
The Wide Window | Lemony Snicket
The Miserable Mill | Lemony Snicket
The Austere Academy | Lemony Snicket
The Ersatz Elevator | Lemony Snicket
The Vile Village | Lemony Snicket
The Hostile Hospital | Lemony Snicket
The Carnivorous Carnival | Lemony Snicket
The Slippery Slope | Lemony Snicket
The Grim Grotto | Lemony Snicket
The Penultimate Peril | Lemony Snicket
The End | Lemony Snicket
The Lightning Thief | Rick Riordan
Never Let Me Go | Kazuo Ishiguro
The Remains of the Day | Kazuo Ishiguro
Klara and the Sun | Kazuo Ishiguro
An Artist of the Floating World | Kazuo Ishiguro
The Buried Giant | Kazuo Ishiguro
The Unconsoled | Kazuo Ishiguro
When We Were Orphans | Kazuo Ishiguro
The White Tiger | Aravind Adiga
The God of Small Things | Arundhati Roy
The Ministry of Utmost Happiness | Arundhati Roy
The Inheritance of Loss | Kiran Desai
The Namesake | Jhumpa Lahiri
Interpreter of Maladies | Jhumpa Lahiri
The Lowland | Jhumpa Lahiri
Unaccustomed Earth | Jhumpa Lahiri
The Joy Luck Club | Amy Tan
The Kitchen God's Wife | Amy Tan
The Bonesetter's Daughter | Amy Tan
The Valley of Amazement | Amy Tan
Saving Fish from Drowning | Amy Tan
The Hundred Secret Senses | Amy Tan
The Opposite of Fate: Memories of a Writing Life | Amy Tan
The Red Tent | Anita Diamant
I Am the Messenger | Markus Zusak
The Secret Magdalene | Ki Longfellow
The Dovekeepers | Alice Hoffman
The World That We Knew | Alice Hoffman
The Rules of Magic | Alice Hoffman
Magic Lessons: The Prequel to Practical Magic | Alice Hoffman
The Red Garden | Alice Hoffman
The Story Sisters | Alice Hoffman
The Ice Queen | Alice Hoffman
The Marriage of Opposites | Alice Hoffman
Here on Earth | Alice Hoffman
The Museum of Extraordinary Things | Alice Hoffman
The Third Angel | Alice Hoffman
The River King | Alice Hoffman
The Probable Future | Alice Hoffman
The Book of Lost Names | Kristin Harmel
The Orphan's Tale | Pam Jenoff
Push | Sapphire
The Kid | Sapphire
Jazz | Toni Morrison
The Book of Longings | Sue Monk Kidd
The Invention of Wings | Sue Monk Kidd
The Mermaid Chair | Sue Monk Kidd
The Dance of the Dissident Daughter | Sue Monk Kidd
Animal, Vegetable, Miracle: A Year of Food Life | Barbara Kingsolver
Prodigal Summer | Barbara Kingsolver
Eat Pray Love | Elizabeth Gilbert
In One Person | John Irving
Four: A Divergent Story Collection | Veronica Roth
Portrait in Sepia | Isabel Allende
The Signature of All Things | Elizabeth Gilbert
A Monster Calls | Patrick Ness
The Rest of Us Just Live Here | Patrick Ness
More Than This | Patrick Ness
The Knife of Never Letting Go | Patrick Ness
The Ask and the Answer | Patrick Ness
Islands in the Stream | Ernest Hemingway
I Know Why the Caged Bird Sings | Maya Angelou
The Heart Is a Lonely Hunter | Carson McCullers
The Member of the Wedding | Carson McCullers
Reflections in a Golden Eye | Carson McCullers
The Ballad of the Sad Cafe: And Other Stories | Carson McCullers
Clock Without Hands | Carson McCullers
The Complete Stories | Flannery O'Connor
The Good Mother | Sue Miller
The Story of My Father | Sue Miller
The World Below | Sue Miller
While I Was Gone | Sue Miller
The Senator's Wife | Sue Miller
Lost in the Forest | Sue Miller
The Arsonist | Sue Miller
The Lake Shore Limited | Sue Miller
The Story of Edgar Sawtelle | David Wroblewski
The Road Back | Erich Maria Remarque
Three Comrades | Erich Maria Remarque
Flotsam | Erich Maria Remarque
The Black Obelisk | Erich Maria Remarque
Spark of Life: A Novel | Erich Maria Remarque
Shadows in Paradise | Erich Maria Remarque
The Promised Land | Erich Maria Remarque
The Attack | Yasmina Khadra
The Return: Fathers, Sons and the Land in Between | Hisham Matar
Room | Emma Donoghue
The Wonder | Emma Donoghue
Frog Music | Emma Donoghue
The Sealed Letter | Emma Donoghue
The Light Between Oceans | M.L. Stedman
Pacific: Silicon Chips and Surfboards, Coral Reefs and Atom Bombs, Brutal Dictators, Fading Empires, and the Coming Collision of the World's Superpowers | Simon Winchester
Krakatoa: The Day the World Exploded: August 27, 1883 | Simon Winchester
The Professor and the Madman: A Tale of Murder, Insanity, and the Making of the Oxford English Dictionary | Simon Winchester
The Map That Changed the World: William Smith and the Birth of Modern Geology | Simon Winchester
